a	A
a'	ALEPH
a'2?	HI×NUN
a'3	E2
a'a3	LAGAB×A
a'u'u	A.PA.GISAL.PAD.SI.A
a-gar5	A.LU3
a-ra2	A.DU
a10?	ŠA6
a11?	AN
a12	UD
a12-ra2-bu	UD.DU.BU
a13	UD×U+U+U
a14	E2
a2	A2
a3	PI
a4	A.AN
a5	AK
a6	U
a7	HA
a8	UR
a9	LAGAB×A
ab	AB
ab2	AB2
ab3	AD
ab4	AB@g
aba	AB
aba3	AD
aba4	AB@g
abba	AB
abba2	AB×AŠ2
abbar	LAGAB×A
abbarax(|LAGAB×A|)	LAGAB×A
abbarx(|LAGAB×GAR|)	LAGAB×GAR
abbununna	UD.HU.HI.NUN
abbununnax(|UD.HU.HI.NUN.NA|)	UD.HU.HI.NUN.NA
abbununnu	UD.HU.HI.NUN
abbununnux(|UD.HU.HI.NUN.NA|)	UD.HU.HI.NUN.NA
abgal	NUN.ME
abgal2	NUN.ME.KA×GAN2@t
abgalx(|NUN.ME.KA×ME|)	NUN.ME.KA×ME
ablal	LAGAB×A+LAL
ablal2?	LAGAB×A
ablal3	LAGAB×U+A
ablalx(|LAGAB×KIN|)	LAGAB×KIN
abni2	KI.NE
abnu	UD.NI
abrig	NUN.ME.DU
abrig2	AB2.NUN.ME.DU
absin	KI.AŠ.AŠ
absin2	AB.NAM
absin3	APIN
absu	ZU.AB
abul	KA2.GAL
abula	KA2.GAL
abulla	KA2.GAL
abx(NUN)	NUN
abx(|AN.AN|)	AN.AN
abzu	ZU.AB
abzux(|UMUM×KASKAL|)	UMUM×KASKAL
abšin3	APIN
ad	AD
ad-kid	AD.KID
ad-kidx(|AD.E2|)	AD.E2
ad2	GIR2@g
ad3	LU×BAD
ad4	ZA@t
ad5	U2.GIR2@g
ad6	LU2×BAD
ada	AD
adab	UD.NUN
adaba	UD.NUN
adad	IM
adama	BAD.MI
adamen	LU2%LU2
adamen2	LUGAL&LUGAL
adamen3	GIŠ%GIŠ
adamen4	NUN%NUN
adamen5	EN%EN
adamenx(|LUGAL@LUGAL|)	LUGAL@LUGAL
adamin	LU2@LU2
adamin2	LUGAL&LUGAL
adamin3	GIŠ%GIŠ
adamin4	NUN%NUN
adamin5	EN%EN
adaminx(|EN@EN|)	EN@EN
adaminx(|LU2.LU2|)	LU2.LU2
adamu	BAD.MI
adar	A.GUD×KUR
adar2	GUD×KUR
adar3	GEŠTIN×KUR
adarx(SUD2)	SUD2
adax(|LU2×BAD|)	LU2×BAD
adda	LU2×BAD
adda2	LU×BAD
adda3	U2.GIR2@g
adda4	GIR2@g
addax(LU2)	LU2
addax(ZA@t)	ZA@t
addax(|LU2@g.UŠ2|)	LU2@g.UŠ2
addir	A.PA.GISAL.PAD.SI.A
addirx(PA)	PA
addirx(|GISAL.PAD.SI.A|)	GISAL.PAD.SI.A
addirx(|PA.GISAL.SI.A.PAD|)	PA.GISAL.SI.A.PAD
addirx(|PA.GISAL.SI.A|)	PA.GISAL.SI.A
addirx(|PAD.DUG.GIŠ.SI|)	PAD.DUG.GIŠ.SI
addirx(|SI.GIŠ.PAD.DUG|)	SI.GIŠ.PAD.DUG
addu2	U2.GIR2@g
addu3	GIR2@g
addu4	ZA@t
adkin	SIK2.LAM
adx(EN)	EN
adx(LU2@s)	LU2@s
adx(|BAD.LU2|)	BAD.LU2
adx(|LU2@s×BAD|)	LU2@s×BAD
adx(|LU2×GAM|)	LU2×GAM
ag	AK
ag2	NINDA2×NE
ag3	ŠID
aga	DUN3@g@g
aga-us2	DUN3@g.UŠ
aga2	NINDA2×NE
